filename,model_type,bert_score_precision,bert_score_recall,bert_score_f1
openai_31933937.txt.json,openai,0.7304978370666504,0.7155404686927795,0.7229418754577637
openai_32116644.txt.json,openai,0.6254607439041138,0.6201930642127991,0.622815728187561
openai_32252380.txt.json,openai,0.6616268157958984,0.6307693719863892,0.6458297371864319
openai_32281301.txt.json,openai,0.6718933582305908,0.6302747130393982,0.6504188776016235
openai_32524041.txt.json,openai,0.6829115152359009,0.6167294979095459,0.6481353640556335
openai_32547622.txt.json,openai,0.6195189952850342,0.5074025392532349,0.5578835606575012
openai_32694387.txt.json,openai,0.6553819179534912,0.6521548628807068,0.6537643671035767
openai_32751594.txt.json,openai,0.682814359664917,0.6019407510757446,0.639832079410553
openai_32823611.txt.json,openai,0.6559336185455322,0.6551468372344971,0.6555399894714355
openai_32859047.txt.json,openai,0.7073277831077576,0.6650241613388062,0.6855239868164062
openai_32922090.txt.json,openai,0.6686874628067017,0.5846116542816162,0.6238294839859009
openai_32967898.txt.json,openai,0.6663038730621338,0.6355630159378052,0.6505705118179321
openai_32992627.txt.json,openai,0.6504168510437012,0.6507867574691772,0.6506017446517944
openai_33050010.txt.json,openai,0.5395780801773071,0.5411617755889893,0.5403687953948975
openai_33053851.txt.json,openai,0.6385974287986755,0.6213839054107666,0.6298730373382568
openai_33195652.txt.json,openai,0.7069637775421143,0.686395525932312,0.6965278387069702
openai_33269027.txt.json,openai,0.6526784300804138,0.6394716501235962,0.6460075974464417
openai_33315875.txt.json,openai,0.6732202768325806,0.6182965636253357,0.6445906162261963
openai_33330683.txt.json,openai,0.6573262214660645,0.6313024759292603,0.6440516114234924
openai_33420151.txt.json,openai,0.6875230669975281,0.6148637533187866,0.6491666436195374
openai_33425836.txt.json,openai,0.6390581130981445,0.5875692963600159,0.6122331023216248
openai_33597031.txt.json,openai,0.7059518098831177,0.6872022151947021,0.6964508295059204
openai_33711246.txt.json,openai,0.62596595287323,0.651831865310669,0.638637125492096
openai_33810185.txt.json,openai,0.6753063201904297,0.6544866561889648,0.6647334694862366
openai_33890804.txt.json,openai,0.6183072328567505,0.5611468553543091,0.5883419513702393
openai_33945221.txt.json,openai,0.6457100510597229,0.5226548910140991,0.5777022242546082
openai_33968158.txt.json,openai,0.7105730772018433,0.6720045804977417,0.6907508969306946
openai_34007765.txt.json,openai,0.7248234748840332,0.6290857195854187,0.6735696792602539
openai_34111113.txt.json,openai,0.6982898116111755,0.5935665369033813,0.6416835188865662
openai_34194233.txt.json,openai,0.6002998948097229,0.5398555994033813,0.5684754848480225
openai_34374204.txt.json,openai,0.677262544631958,0.6000221967697144,0.636306881904602
openai_34393272.txt.json,openai,0.6247562766075134,0.6245328187942505,0.6246445775032043
openai_34407074.txt.json,openai,0.648256778717041,0.5825631022453308,0.6136566996574402
openai_34485977.txt.json,openai,0.7184451818466187,0.6247977018356323,0.6683570146560669
openai_34496629.txt.json,openai,0.5837031006813049,0.6121229529380798,0.597575306892395
openai_34591906.txt.json,openai,0.6885051131248474,0.5561189651489258,0.6152713298797607
openai_34787529.txt.json,openai,0.655341625213623,0.5981440544128418,0.62543785572052
openai_34790706.txt.json,openai,0.6926275491714478,0.5699117183685303,0.6253057718276978
openai_34835196.txt.json,openai,0.7115577459335327,0.6722964644432068,0.6913701891899109
openai_34867043.txt.json,openai,0.699289083480835,0.6413359642028809,0.6690599322319031
openai_34977426.txt.json,openai,0.6227609515190125,0.6085911989212036,0.6155945658683777
openai_35012613.txt.json,openai,0.6788257360458374,0.5696099400520325,0.6194405555725098
openai_35014954.txt.json,openai,0.6007680892944336,0.5456491708755493,0.5718836188316345
openai_35062787.txt.json,openai,0.609417736530304,0.5684329867362976,0.5882123112678528
openai_35099707.txt.json,openai,0.7123715281486511,0.6736284494400024,0.6924585103988647
openai_35134952.txt.json,openai,0.689578652381897,0.677132248878479,0.6832987666130066
openai_35141450.txt.json,openai,0.7059890031814575,0.713953971862793,0.7099491357803345
openai_35195153.txt.json,openai,0.7128939628601074,0.6538402438163757,0.6820912957191467
openai_35224181.txt.json,openai,0.6327065229415894,0.5709831118583679,0.6002622842788696
openai_35271201.txt.json,openai,0.6091244220733643,0.6186003684997559,0.613825798034668
openai_35290508.txt.json,openai,0.6537666320800781,0.6062761545181274,0.6291264295578003
openai_35300244.txt.json,openai,0.6631723046302795,0.6738489866256714,0.6684679985046387
openai_35410568.txt.json,openai,0.6740498542785645,0.625593900680542,0.6489185690879822
openai_35449781.txt.json,openai,0.6822972893714905,0.5632418394088745,0.6170795559883118
openai_35458558.txt.json,openai,0.699158787727356,0.6674638986587524,0.6829438209533691
openai_35494918.txt.json,openai,0.6720398664474487,0.6493525505065918,0.6605014204978943
openai_35520829.txt.json,openai,0.5944341421127319,0.6453084945678711,0.6188274621963501
openai_35574795.txt.json,openai,0.6442049741744995,0.5573625564575195,0.5976455211639404
openai_35578328.txt.json,openai,0.6652640104293823,0.6363598108291626,0.6504909992218018
openai_35646759.txt.json,openai,0.691503643989563,0.564130425453186,0.6213566064834595
openai_35721901.txt.json,openai,0.6632215976715088,0.6203336715698242,0.6410611271858215
openai_35723332.txt.json,openai,0.6688399314880371,0.6941545009613037,0.6812621355056763
openai_35841019.txt.json,openai,0.7286049127578735,0.6359494924545288,0.6791315078735352
openai_35888225.txt.json,openai,0.6286261677742004,0.6138750314712524,0.621163010597229
openai_35893822.txt.json,openai,0.7196955680847168,0.6970250606536865,0.7081789374351501
openai_35925677.txt.json,openai,0.6633908748626709,0.5815708041191101,0.6197921633720398
openai_35931619.txt.json,openai,0.6579299569129944,0.617442786693573,0.6370437741279602
openai_35956361.txt.json,openai,0.6519479155540466,0.47293657064437866,0.5481985211372375
openai_36159459.txt.json,openai,0.7087053060531616,0.6401233673095703,0.6726707816123962
openai_36225403.txt.json,openai,0.6831010580062866,0.6582297086715698,0.6704347729682922
openai_36432595.txt.json,openai,0.6184695363044739,0.6282262206077576,0.6233096718788147
openai_36613060.txt.json,openai,0.6635684967041016,0.6458189487457275,0.6545734405517578
openai_36621986.txt.json,openai,0.6596872806549072,0.6092926859855652,0.6334893107414246
openai_36624486.txt.json,openai,0.6670340299606323,0.48805931210517883,0.5636811256408691
openai_36671830.txt.json,openai,0.6845976114273071,0.5914756655693054,0.6346388459205627
openai_36726508.txt.json,openai,0.7322427034378052,0.7191157341003418,0.7256197929382324
